"Date","Price","Open","High","Low","Vol.","Change %"
"16-10-2020","47.581","49.557","49.857","45.624","9.54M","-3.97%"
"15-10-2020","49.549","49.833","50.204","48.871","15.54M","-0.53%"
"14-10-2020","49.814","49.894","50.987","49.279","10.68M","-0.15%"
"13-10-2020","49.892","50.605","50.682","48.851","8.48M","-1.41%"
"12-10-2020","50.605","50.506","51.515","49.336","11.75M","0.30%"
"11-10-2020","50.455","48.888","51.243","48.661","12.34M","3.26%"
"10-10-2020","48.861","47.761","50.549","47.743","16.43M","2.25%"
"09-10-2020","47.787","47.198","48.205","46.601","9.94M","1.30%"
"08-10-2020","47.172","46.569","47.467","45.512","11.62M","1.23%"
"07-10-2020","46.596","45.982","46.927","45.009","11.63M","1.34%"
"06-10-2020","45.982","46.332","48.267","45.550","15.51M","-0.77%"
"05-10-2020","46.340","46.663","47.056","45.532","13.47M","-0.78%"
"04-10-2020","46.707","45.492","47.029","45.272","11.30M","2.61%"
"03-10-2020","45.518","44.917","45.976","44.726","9.79M","1.39%"
"02-10-2020","44.892","46.237","46.959","43.299","10.49M","-2.99%"
"01-10-2020","46.276","46.266","48.477","45.324","14.41M","0.04%"
"30-09-2020","46.258","45.697","46.714","45.423","10.93M","1.23%"
"29-09-2020","45.697","45.195","45.857","44.953","11.04M","1.00%"
"28-09-2020","45.246","46.042","47.120","44.851","10.51M","-1.81%"
"27-09-2020","46.078","46.019","46.538","44.582","19.53M","0.07%"
"26-09-2020","46.047","46.002","46.540","45.179","18.32M","0.05%"
"25-09-2020","46.025","44.947","46.556","43.962","8.88M","2.40%"
"24-09-2020","44.947","42.978","45.182","42.582","14.85M","4.65%"
"23-09-2020","42.950","44.453","45.130","42.310","7.59M","-3.43%"
"22-09-2020","44.478","43.148","44.787","42.792","10.24M","3.08%"
"21-09-2020","43.147","47.118","47.656","41.932","10.77M","-8.35%"
"20-09-2020","47.076","48.492","48.527","46.201","9.82M","-2.92%"
"19-09-2020","48.492","48.539","48.989","47.952","10.23M","-0.13%"
"18-09-2020","48.557","48.832","49.067","47.529","10.95M","-0.62%"
"17-09-2020","48.858","47.762","49.542","47.629","8.62M","2.36%"
"16-09-2020","47.730","48.294","48.734","46.997","9.69M","-1.21%"
"15-09-2020","48.316","49.114","50.280","48.127","8.99M","-1.56%"
"14-09-2020","49.081","48.153","49.618","47.133","10.63M","1.92%"
"13-09-2020","48.156","50.833","51.020","47.316","9.46M","-5.26%"
"12-09-2020","50.828","48.927","51.309","48.374","14.21M","3.88%"
"11-09-2020","48.927","48.669","49.395","47.430","12.74M","0.53%"
"10-09-2020","48.669","47.833","49.429","47.785","13.86M","1.75%"
"09-09-2020","47.834","47.460","48.815","46.540","12.84M","0.79%"
"08-09-2020","47.458","48.839","49.337","46.035","15.52M","-2.83%"
"07-09-2020","48.839","47.910","49.137","45.262","14.21M","1.93%"
"06-09-2020","47.914","47.812","49.137","46.303","13.79M","0.21%"
"05-09-2020","47.812","50.364","51.241","45.562","17.37M","-5.05%"
"04-09-2020","50.353","47.470","52.364","46.612","16.21M","6.13%"
"03-09-2020","47.444","58.060","58.600","45.646","16.63M","-18.32%"
"02-09-2020","58.087","62.697","63.168","56.658","14.91M","-7.40%"
"01-09-2020","62.730","60.957","64.273","59.857","13.69M","2.91%"
"31-08-2020","60.957","62.870","63.677","60.588","14.61M","-3.04%"
"30-08-2020","62.870","56.952","62.883","56.931","14.95M","10.39%"
"29-08-2020","56.952","57.410","58.188","56.952","11.65M","-0.80%"
"28-08-2020","57.412","56.083","58.184","55.334","13.96M","2.38%"
"27-08-2020","56.076","58.087","59.232","54.046","12.69M","-3.46%"
"26-08-2020","58.087","58.347","59.062","57.028","11.47M","-0.45%"
"25-08-2020","58.349","62.090","62.292","56.687","13.87M","-6.03%"
"24-08-2020","62.092","60.546","62.987","59.973","12.77M","2.57%"
"23-08-2020","60.537","60.228","61.605","58.051","12.58M","0.51%"
"22-08-2020","60.228","59.181","60.497","57.789","12.52M","1.82%"
"21-08-2020","59.152","62.783","63.871","58.815","16.34M","-5.78%"
